,u_windows,g_value,wwr,fixedShadingDepth,heatingSum,heatingMax,lightingSum,temperature>28C
0,0.5,0.2,0.4,0.01,1122787099.66099,1891.3132195764445,512856513.0700216,1147
1,0.5,0.2,0.4,0.25,1144813711.120439,2167.003169518769,512857735.79991543,1138
2,0.5,0.2,0.4,0.5,1145281119.3290272,1891.4636341892344,512843814.7508503,1109
3,0.5,0.2,0.4,0.75,1173663950.9536536,1892.351277114228,512860401.675063,1082
4,0.5,0.2,0.4,1.0,1215153408.8849533,1893.287987162597,512873755.992772,1039
5,0.5,0.2,0.4,1.25,1268129692.133832,1894.7629749556504,512879213.61789256,1010
6,0.5,0.2,0.4,1.5,1338521208.0335188,1897.1303534784845,512933340.5197288,987
7,0.5,0.2,0.5,0.01,1004153821.762522,2924.2525282910674,512443134.8112494,1211
8,0.5,0.2,0.5,0.25,1010809835.1272892,2952.401237790403,512418167.8548209,1192
9,0.5,0.2,0.5,0.5,1017240049.7834952,1875.709404318923,512365517.04187614,1165
10,0.5,0.2,0.5,0.75,989476069.6132292,1876.711528098729,512344050.056888,1134
11,0.5,0.2,0.5,1.0,1028850497.2159438,1877.798772786966,512389103.5266355,1100
12,0.5,0.2,0.5,1.25,1062887789.62321,1880.379947641106,512383058.3386526,1074
13,0.5,0.2,0.5,1.5,1093725755.810256,1883.397681758679,512410365.7153289,1046
14,0.5,0.2,0.6,0.01,1029143861.2611864,3127.976263448841,512100096.2155986,1277
15,0.5,0.2,0.6,0.25,1056160714.7533822,3557.242556801549,512100530.67682874,1265
16,0.5,0.2,0.6,0.5,1044189165.4650753,4537.665479274179,512047163.7128064,1246
17,0.5,0.2,0.6,0.75,1012327943.4529808,4552.807157140724,512036152.53333473,1207
18,0.5,0.2,0.6,1.0,996430844.3060644,3238.741522776645,512042840.0418457,1165
19,0.5,0.2,0.6,1.25,988635191.8265344,2132.223955014207,512069573.038654,1124
20,0.5,0.2,0.6,1.5,974002764.1429312,1862.42159620011,512064587.947793,1097
21,0.5,0.3,0.4,0.01,733947964.0240929,2356.273006619285,512971245.26332235,1398
22,0.5,0.3,0.4,0.25,725155326.1997308,1976.9961929543488,512972476.60474205,1377
23,0.5,0.3,0.4,0.5,756610871.4957592,2182.4055313091067,512977110.8207865,1340
24,0.5,0.3,0.4,0.75,746113109.51114,2471.1121077065154,512993769.76987046,1284
25,0.5,0.3,0.4,1.0,751347091.4415464,2150.988328015185,513028204.24924296,1249
26,0.5,0.3,0.4,1.25,768356458.0646884,1784.3422822431928,513070635.72489774,1205
27,0.5,0.3,0.4,1.5,791041676.0382369,1792.0422364045503,513125195.7816108,1160
28,0.5,0.3,0.5,0.01,766233307.3638002,4828.097972315475,512468204.76183736,1512
29,0.5,0.3,0.5,0.25,755830743.7806702,4205.26270824029,512468810.0177002,1492
30,0.5,0.3,0.5,0.5,741357474.8221036,2266.877455626652,512471752.96096295,1454
31,0.5,0.3,0.5,0.75,740537083.8647158,3599.448748814505,512484290.88408315,1410
32,0.5,0.3,0.5,1.0,730591896.4041051,2747.4003298991624,512529568.00302535,1368
33,0.5,0.3,0.5,1.25,736775641.9180871,3116.287117749961,512547886.63503253,1301
34,0.5,0.3,0.5,1.5,734093981.829379,2631.733607133654,512575243.19428456,1258
35,0.5,0.3,0.6,0.01,1023067661.3204896,4018.094897932098,512157660.1283593,1630
36,0.5,0.3,0.6,0.25,983572758.4923952,4534.184513385552,512158096.2138817,1618
37,0.5,0.3,0.6,0.5,987707386.7308044,5818.368930827661,512161344.6541322,1566
38,0.5,0.3,0.6,0.75,972293342.0133928,5923.460653466327,512116700.30332583,1515
39,0.5,0.3,0.6,1.0,894607991.3474166,4035.026226079124,512156124.788637,1462
40,0.5,0.3,0.6,1.25,869547412.6006355,3132.2694607748467,512182792.0832397,1427
41,0.5,0.3,0.6,1.5,849824293.5556726,2733.988710671458,512211209.1064849,1377
42,0.5,0.4,0.4,0.01,569129752.8046151,2792.6902536581624,512934657.45808077,1615
43,0.5,0.4,0.4,0.25,577759146.4659857,3332.39339283771,512936904.67084324,1595
44,0.5,0.4,0.4,0.5,563385523.0807289,3676.5862676276574,512907830.55115604,1567
